index,id,language,setCode,translation
0,1,Chinese Simplified,10E,核心系列第十版
1,2,Chinese Traditional,10E,核心系列第十版
2,3,French,10E,Dixième édition
3,4,German,10E,Hauptset Zehnte Edition
4,5,Italian,10E,Set Base Decima Edizione
5,6,Japanese,10E,第10版基本セット
6,7,Korean,10E,코어세트 10판
7,8,Portuguese (Brazil),10E,Coleção Básica Décima Edição
8,9,Russian,10E,Базовый выпуск Десятое Издание
9,10,Spanish,10E,Colección Básica - Décima Edición
10,11,Chinese Simplified,4ED,
11,12,Chinese Traditional,4ED,
12,13,French,4ED,Quatrième édition
13,14,German,4ED,
14,15,Italian,4ED,
15,16,Japanese,4ED,
16,17,Korean,4ED,
17,18,Portuguese (Brazil),4ED,
18,19,Russian,4ED,
19,20,Spanish,4ED,
20,21,Chinese Simplified,5DN,五色曙光
21,22,Chinese Traditional,5DN,五色曙光
22,23,French,5DN,La cinquième aube
23,24,German,5DN,Fünfte Morgenröte
24,25,Italian,5DN,Quinta Alba
25,26,Japanese,5DN,フィフス・ドーン
26,27,Korean,5DN,다섯번째 새벽
27,28,Portuguese (Brazil),5DN,Aquinta Aurora
28,29,Russian,5DN,Fifth Dawn
29,30,Spanish,5DN,Quinto amanecer
30,31,Chinese Simplified,5ED,
31,32,Chinese Traditional,5ED,
32,33,French,5ED,Cinquième édition
33,34,German,5ED,
34,35,Italian,5ED,
35,36,Japanese,5ED,
36,37,Korean,5ED,
37,38,Portuguese (Brazil),5ED,
38,39,Russian,5ED,
39,40,Spanish,5ED,
40,41,Chinese Simplified,6ED,
41,42,Chinese Traditional,6ED,
42,43,French,6ED,Sixième édition
43,44,German,6ED,
44,45,Italian,6ED,
45,46,Japanese,6ED,
46,47,Korean,6ED,
47,48,Portuguese (Brazil),6ED,
48,49,Russian,6ED,
49,50,Spanish,6ED,
50,51,Chinese Simplified,7ED,
51,52,Chinese Traditional,7ED,
52,53,French,7ED,Septième édition
53,54,German,7ED,
54,55,Italian,7ED,
55,56,Japanese,7ED,
56,57,Korean,7ED,
57,58,Portuguese (Brazil),7ED,
58,59,Russian,7ED,
59,60,Spanish,7ED,
